unit_ranch_number,gmu,ranch_name,ranch_class,ranch_status,elk_occupied_acreage,gis_acre,county
6A-20611,6A,B Martinez,SCR,UW,61,62.9545383,Sandoval
6A-42654,6A,HIGH BAR RANCH,SCR,UW,26,27.00274778,Sandoval
6A-42813,6A,Los Dos Ojitos,SCR,UW,104,103.39617804000001,Sandoval
6C-20730,6C,Velasquez Brothers,SCR,UW,30,28.21327522,Rio Arriba
6C-40495,6C,Ranch House Field,SCR,UW,84,78.84005955,Rio Arriba
6C-42487,6C,Pina I,SCR,UW,17,16.26317261,Rio Arriba
2-20006,2,P&C Montoya,Base,UW,2300,2333.7171207899996,Rio Arriba
2-23098,2,Dirty Sage Wildlife Ranch,SCR,UW,80,79.46839004,Rio Arriba
2-26453,2,DEVIL'S SPRINGS,SCR,UW,479,469.94335858,Rio Arriba
2-29230,2,DEAN RANCH,SCR,UW,141,141.90893666,Rio Arriba
2-40734,2,Fort CanHole,SCR,UW,80,79.49684638,Rio Arriba
2-42012,2,C Phillips Fuller Ranch,SCR,UW,160,158.69217735,Rio Arriba
2-42525,2,ELK CAMP,SCR,UW,80,79.11899224999999,Rio Arriba
2-43518,2,4P,SCR,UW,560,559.93030683,Rio Arriba
2-20022,2,4 P Ranch,Base,UW,3561,3536.35056637,Rio Arriba
2-43519,2,TWIN PEAKS RANCH ,Base,UW,770,770.2111473699999,Rio Arriba
6A-20633,6A, ELOISA GUTIERREZ RANCH,SCR,UW,206,208.30193063,Sandoval
6A-42353,6A,JLB Properties,SCR,UW,26,27.16568644,Sandoval
6A-42355,6A,Pino,SCR,UW,42,38.92692154,Sandoval
2-20009,2,NICK CANDELARIA,Base,UW,3188,3187.8005359999997,Rio Arriba
6A-29772,6A,Patricio Duran,SCR,UW,5,5.1069532,Sandoval
6A-43837,6A,Elwell,SCR,UW,280,273.6614483,Sandoval
6A-20772,6A,Donald Garcia Ranch,SCR,UW,5,5.15872421,Sandoval
6A-20785,6A,MAESTAS RANCH,Base,UW,852,382.85737628,Sandoval
6A-28268,6A,Lazy CT,SCR,UW,67,68.65740515,Sandoval
7-20787,7,Samuel Smelser,Base,UW,1270,1267.51023079,Sandoval
7-22488,7,DONALD LOONEY,SCR,UW,640,638.36291683,Sandoval
7-41893,7,Eichwald-Shoman Ranch,SCR,UW,19,19.40428021,Sandoval
7-42501,7,German Browns,SCR,UW,20,19.2899107,Sandoval
36-43460,36,Montes,SCR,UW,14,14.13097922,Lincoln
36-21334,36,Diamond C,Base,UW,160,163.41690855,Lincoln
36-21343,36,7HP,Base,UW,340,405.33232224,Lincoln
36-28782,36,Silva,Base,UW,170,151.21050886999998,Lincoln
36-40821,36,Dakota,SCR,UW,77,79.33066263,Lincoln
36-41846,36,Gonzales Ranch,SCR,UW,19,17.3340202,Lincoln
36-42180,36,Dyer Ranch,SCR,UW,113,110.30116955000001,Lincoln
36-43391,36,Campestre,SCR,UW,37,36.91659431,Lincoln
36-27996,36,Dennis Nosker,Base,UW,366,348.82028143,Lincoln
36-41440,36,Portal Del Cielo,SCR,UW,121,125.82847312,Lincoln
36-43816,36,Brazel Ranch,Base,UW,160,161.20114728,Lincoln
36-43869,36,Peanut's Place,SCR,UW,4,4.51521818,Lincoln
36-44121,36,Bailey Family Farm,SCR,UW,51,48.76222081,Lincoln
36-44135,36,Bocoe Ranch LLC,Base,UW,346,336.64697135,Lincoln
36-21332,36,Runnels,SCR,UW,47,47.51332713,Lincoln
36-26786,36,Lazy J,SCR,UW,82,81.32422922,Lincoln
36-26903,36,Windmill Canyon,SCR,UW,96,90.74133180999999,Lincoln
36-28184,36,Sanchez Place,SCR,UW,39,37.84595265,Lincoln
36-41340,36,ENGLISH RANCH,Base,UW,165,164.23172810999998,Lincoln
36-42629,36,LAZY YJ RANCH,SCR,UW,50,50.978273030000004,Lincoln
36-42684,36,PEAR SPRINGS,SCR,UW,9,8.230762050000001,Lincoln
36-29862,36,Benny Runnels,SCR,UW,32,34.63263885,Lincoln
36-43712,36,Mills,SCR,UW,80,85.49748135,Lincoln
36-43822,36,Shady Oaks,SCR,UW,15,13.989913660000001,Lincoln
36-43825,36,Cherry,SCR,UW,21,20.30499887,Lincoln
36-43094,36,N Bar N,SCR,UW,20,18.52454131,Lincoln
34-21263,34,Walker Ranch Land LLC,Base,UW,555,511.0046966,Otero
34-26783,34,John L. Brown,SCR,UW,71,64.05485458,Otero
34-26784,34,Campbell,Base,UW,340,317.38984963999997,Otero
34-27533,34,Torres & Torres,SCR,UW,42,40.19579521,Otero
34-27642,34,Korzec Family Ltd.,SCR,UW,40,38.393587290000006,Otero
36-27186,36,Paul H Jones,SCR,UW,81,88.21101303,Lincoln
36-28341,36,EAST L/O,SCR,UW,42,38.20498424,Lincoln
36-29067,36,Dunagan Farms LLC.,SCR,UW,55,63.07978992,Lincoln
36-29840,36,Willard Tree Farm II,SCR,UW,20,19.8584916,Lincoln
36-41048,36,Hightower,SCR,UW,31,31.62783987,Lincoln
36-41074,36,Cleaver,SCR,UW,58,58.39075758,Lincoln
36-42841,36,A & R RIVER RANCH,SCR,UW,71,67.61400427000001,Lincoln
34-27589,34,Morgan Canyon,SCR,UW,34,33.55582302,Otero
36-44030,36,NA,SCR,UW,32,30.29876659,Lincoln
34-43009,34,Dirba's Hideaway,SCR,UW,12,4.99007911,Otero
36-43064,36,J&B Snowflake Ranch,SCR,UW,115,106.4059776,Lincoln
36-43035,36,Phillip Herrera Farm,SCR,UW,30,25.71442111,Lincoln
17-21213,17,Kelly Ranch,SCR,UW,311,239.82876305,Socorro
17-21216,17,Pete O. Zamora,SCR,UW,240,245.67146141,Socorro
17-27024,17,Pettis Ranch,SCR,UW,640,638.36865577,Socorro
34-21288,34,Cadwallader,SCR,UW,77,77.81923103,Otero
34-21314,34,D&L,SCR,UW,80,78.78247499,Otero
34-23161,34,Flowers,SCR,UW,60,58.99905552,Otero
34-28118,34,Victory,SCR,UW,24,24.1690443,Otero
34-28662,34,John Palmer (Outsid*,SCR,UW,49,48.54744789,Otero
36-41491,36,Cillessen,SCR,UW,21,20.638191990000003,Lincoln
17-21212,17,Pound Ranch,Base,UW,3844,3830.0129498,Socorro
34-21277,34,Nichols,Base,UW,456,498.8903555,Otero
13-43677,13,Bar OK,SCR,UW,40,39.48553005,Socorro
17-42316,17,Linchburg,SCR,UW,229,236.81463071000002,Socorro
17-21205,17,Tigner Cattle Co.,Base,UW,4049,4041.50065378,Socorro
17-26606,17,Kent Schauer,SCR,UW,80,79.89117974,Socorro
17-26608,17,DARRYL SULLIVAN,Base,UW,1516,5369.17080566,Sierra
17-27222,17,Flying X,SCR,UW,640,650.98450327,Socorro
17-29180,17,Ruddick Ranch,SCR,UW,80,79.6396377,Socorro
17-42035,17,3H SQUAW PEAK RANCH,Base,UW,2480,2518.42823297,Socorro
17-44047,17,San Juan Ranch,SCR,UW,240,246.65910639999998,Socorro
13-27009,13,WALRAVEN,Base,UW,1280,926.67322815,Catron
13-27579,13,Old Ary Ranch,Base,UW,1478,1480.8184651400002,Catron
13-27937,13,Hastings Ranch,SCR,UW,118,115.67968785,Catron
16E-28149,16E,SAN AUGUSTIN PLAIN RANCH,SCR,UW,600,565.7103161499999,Catron
17-21206,17,Wahoo Ranch,Base,UW,2200,2419.0247087,Socorro
17-29877,17,Sargent Tank,SCR,UW,40,39.590225800000006,Socorro
17-41504,17,Concho Hills Ranch,SCR,UW,80,78.90216474,Socorro
21A-43448,21A,Yaples Homestead LLC,SCR,UW,80,78.06921004,Sierra
13-44052,13,White House Yates A,SCR,UW,39,38.63189343,Catron
13-44059,13,White House Chavez,SCR,UW,38,37.33151366,Catron
16E-43383,16E,Walraven 16E,SCR,UW,276,276.28933902,Catron
15-20958,15,Julian/Porter,Base,UW,687,667.4382421800001,Catron
15-20996,15,Sawmill Canyon Ranch,SCR,UW,70,64.27793685,Catron
15-21031,15,La Campana/Aragon,Base,UW,2600,2587.4823299600002,Catron
15-21063,15,Bobby Salvo,Base,UW,870,826.78269783,Catron
15-21088,15,Johnson,Base,UW,1836,1833.0030443199998,Catron
15-41112,15,Sand Flat Ranch,SCR,UW,128,128.85135193000002,Catron
15-43487,15,Largo Creek,SCR,UW,78,78.5002371,Catron
15-43171,15,Farr Unit 15,Base,UW,1397,1392.30776937,Catron
16E-22525,16E,Salvo Ranch,Base,UW,5480,5305.7398213900005,Catron
15-27143,15,WEST HORSE MOUNTAIN STEIGER,Base,UW,3124,3119.39513592,Catron
15-20923,15,Toriette,Base,UW,1701,1800.2265801199999,Catron
15-20986,15,David Porter,SCR,UW,265,259.93333441,Catron
15-23053,15,Mossman,SCR,UW,40,40.68986766,Catron
15-28203,15,White,SCR,UW,54,51.998273389999994,Catron
15-28265,15,COSTILLA SPRINGS,SCR,UW,40,39.04242739,Catron
15-28346,15,Vista Verde Ranch,Base,UW,910,902.79898008,Catron
15-29630,15,LT,SCR,UW,10,10.02168118,Catron
15-41095,15,Pueblo Springs Ranch,SCR,UW,29,29.08385928,Catron
15-41098,15,J&J Ranch,SCR,UW,10,9.94286269,Catron
15-42261,15,RK Ranch LLC,SCR,UW,40,39.90093344,Catron
15-20961,15,Skousen,Base,UW,1226,1222.8651407099999,Catron
15-43375,15,Gallo Ranch 15,Base,UW,640,633.64219638,Catron
15-20930,15,McCarty,Base,UW,514,524.60863124,Catron
15-20956,15,Oliver Kiehne,SCR,UW,217,194.687409,Catron
15-20960,15,HUDSON RANCH,SCR,UW,124,133.21320053,Catron
15-26829,15,Wheeler,SCR,UW,42,41.45192122,Catron
15-29465,15,El Medio de Nada,SCR,UW,25,24.4429081,Catron
15-40451,15,Gray,SCR,UW,18,17.291989039999997,Catron
15-40886,15,Cienega Ranch,SCR,UW,160,150.80915123,Catron
15-41529,15,Reed Ranch,SCR,UW,210,208.25027095000002,Catron
15-41577,15,Spur Ranch Cattle Co,SCR,UW,606,618.09392553,Catron
16A-27592,16A,Delgado,SCR,UW,30,32.81773827,Catron
16A-29470,16A,Marshall Atwood,SCR,UW,25,23.55881086,Catron
15-44168,15,Cleo Laney Ranch,SCR,UW,9,8.82422495,Catron
15-44181,15,Howell Ranch,SCR,UW,21,21.386957730000002,Catron
16A-21091,16A,Blair Ranch,Base,UW,2275,1962.8123905,Catron
16C-21120,16C,Diamond/Fowler,Base,UW,2466,1532.24312311,Catron
16C-27420,16C,Beaver Creek,SCR,UW,10,9.4278062,Catron
16C-29857,16C,Rafter Spear,SCR,UW,54,54.37209552,Sierra
24-41429,24,Bar 7 T,SCR,UW,558,535.2306442,Grant
16C-21118,16C,Los Adobes 16C,Base,UW,38483,38307.03912807,Catron
16E-22523,16E,Los Adobes 16E,Base,UW,8507,8506.98209263,Catron
16A-41210,16A,Devils Park,SCR,UW,160,161.85856758999998,Catron
23-27842,23,HUGH B MCKEEN RANCH,Base,UW,710,648.12057624,Catron
23-40806,23,Cherry Canyon Farms,SCR,UW,155,167.00185638,Catron
23-41233,23,Haas Ranch,SCR,UW,494,495.62364887,Grant
36-43396,36,Jim and Darlene Bobb,SCR,UW,19,21.34706058,Lincoln
34-27099,34,WO,SCR,UW,59,57.33403564,Otero
34-27348,34,Lazy J-3,SCR,UW,93,90.40606903000001,Otero
34-28110,34,Algerita,SCR,UW,41,40.246907619999995,Otero
34-28965,34,Lard Tree Farm,SCR,UW,46,40.876434259999996,Otero
34-41471,34,Bar Jb,SCR,UW,5,5.01016948,Otero
34-41830,34,M/T Ranch,SCR,UW,41,44.22039514,Otero
34-42659,34,ABELL RANCH,SCR,UW,43,42.181463459999996,Otero
36-28094,36,Tortollita,SCR,UW,44,34.72859475,Lincoln
36-28353,36,Oso Grande,SCR,UW,18,18.29125189,Lincoln
36-28961,36,Vista Del Valle Min*,Base,UW,1504,999.0818679,Lincoln
36-41840,36,Old Miners Ranch,SCR,UW,5,3.8631237200000004,Lincoln
36-43728,36,Die Gans,SCR,UW,8,7.68382025,Lincoln
34-44138,34,Mcelheny,SCR,UW,40,35.11018163,Otero
36-44189,36,Parsons Mine,SCR,UW,12,12.21351891,Lincoln
36-43022,36,Parson's Ranch,SCR,UW,24,23.58534165,Lincoln
34-42816,34,Elk Meadows,SCR,UW,30,30.05400743,Otero
34-26551,34,Joel Pate,SCR,UW,37,35.21706007,Otero
34-27237,34,4 JC,SCR,UW,15,13.35999914,Otero
34-28871,34,Ben & Linda,SCR,UW,23,23.62494855,Otero
34-29878,34,Ballard,SCR,UW,20,18.27196013,Otero
34-40861,34,CV,SCR,UW,138,134.05287289999998,Otero
34-41397,34,Gail Cramer,SCR,UW,15,14.52284534,Otero
34-42028,34,Lazy K X Ranch,SCR,UW,46,43.830212929999995,Otero
34-42177,34,Batte Sullivan,SCR,UW,24,24.0969684,Otero
34-42184,34,Holland Ranch,SCR,UW,39,39.73845726,Otero
34-42204,34,Holland Ranch,SCR,UW,23,23.05037396,Otero
34-42205,34,Holland Ranch,SCR,UW,4,4.85084104,Otero
34-42206,34,Holland Ranch,SCR,UW,10,9.50285682,Otero
34-42823,34,Dalanjean,Base,UW,130,141.18769979,Otero
34-26939,34,Gillespie,Base,UW,239,214.39334653,Otero
34-43413,34,Bar H,SCR,UW,106,99.12338139,Otero
34-28739,34,Castelline,SCR,UW,35,34.89683401,Otero
34-21312,34,Ward,SCR,UW,32,32.808741430000005,Otero
34-27322,34,Potter,SCR,UW,86,86.96848369,Otero
34-27984,34,Miller,Base,UW,210,212.14670554,Otero
34-28039,34,Winding Brooke,SCR,UW,75,75.07053830999999,Otero
34-28090,34,Black Walnut,SCR,UW,11,9.99456687,Otero
34-28151,34,Carlson,SCR,UW,19,19.392570329999998,Otero
34-28303,34,Stone View,SCR,UW,21,20.73975519,Otero
34-42016,34,Faldyn Ranch,SCR,UW,10,10.677272499999999,Otero
34-43496,34,David Ripley,SCR,UW,16,15.59909392,Otero
34-43722,34,Half Circle D,SCR,UW,17,15.28323424,Otero
34-28235,34,Stone,Base,UW,684,674.65003167,Otero
34-43057,34,Wells,SCR,UW,41,40.496296730000005,Otero
34-43415,34,Freddy's Feathers,SCR,UW,83,83.66241713000001,Otero
34-21284,34,Merle Smith,Base,UW,382,378.95974292,Otero
34-21307,34,MUNSON,Base,UW,584,602.9115527800001,Otero
34-27469,34,James Harvey,SCR,UW,69,68.01440683,Otero
34-29115,34,Pine Valley,SCR,UW,60,59.4487329,Otero
34-41445,34,"B & B VENTURES, LLC RANCH",Base,UW,160,161.71202638,Otero
34-41558,34,Hayes,SCR,UW,80,79.60254883,Otero
34-41565,34,KATY TRACT RANCH,SCR,UW,83,82.64677062,Otero
34-41832,34,Perk Canyon,SCR,UW,25,23.60119962,Otero
34-42391,34,Los Pinos,Base,UW,240,250.24055952,Otero
34-43173,34,Dylans Ranch 1,SCR,UW,70,64.58445357000001,Otero
34-43175,34,Dylans Ranch 4,SCR,UW,70,71.28016052000001,Otero
34-43177,34,Dylans Ranch 3,SCR,UW,40,41.9806012,Otero
34-21272,34,A. D. SWOPE,Base,UW,520,497.53404409,Otero
34-21278,34,Mac Chew,SCR,UW,40,39.41058752,Otero
34-23159,34,Bonita Vista,SCR,UW,128,159.71483752999998,Otero
34-23165,34,Feeler,SCR,UW,75,74.5968533,Otero
34-28091,34,Holcomb Family Ranc*,Base,UW,1610,1602.7885303100002,Otero
34-28667,34,Sansapple,SCR,UW,10,7.95969314,Otero
34-29743,34,Logan Canyon,Base,UW,150,128.09005408000002,Otero
34-40800,34,Tindle,SCR,UW,11,11.09607641,Otero
34-40852,34,Robert & Susan Cone,SCR,UW,37,37.676138949999995,Otero
34-41780,34,Bar 5 Farm and Ranch LLC,SCR,UW,5,5.05868815,Otero
34-41836,34,Slow Spring Ranch,SCR,UW,10,7.8144776,Otero
34-41999,34,Chippaway Ranch,SCR,UW,85,83.78731585,Otero
34-42211,34,Pine Springs,SCR,UW,120,120.02841033,Otero
34-42656,34,ABELL APPLE FARM,SCR,UW,10,9.8341994,Otero
34-42746,34,SIMS RANCH,SCR,UW,29,25.63060582,Otero
34-44263,34,Bryan Ward,SCR,UW,13,13.657135049999999,Otero
34-29314,34,Hughes,SCR,UW,28,25.77673486,Otero
6A-20536,6A,RANCHO SAN PABLO DE GARCIA,Base,UW,653,616.14502299,Sandoval
6A-20631,6A,CASAUS RANCH,SCR,UW,40,34.90615442,Sandoval
6A-20733,6A,Eugene Johnson and Sons,SCR,UW,155,133.29799938,Sandoval
6A-41856,6A,Coruco Ranch,SCR,UW,15,15.05613299,Sandoval
7-41867,7,Eagle Mesa-Starr,Base,UW,2796,2793.33095284,Sandoval
9-20819,9,LUCERO BROTHERS,Base,UW,1120,1070.93668744,McKinley
7-22489,7,LOUIS WIESE III,Base,UW,1798,1792.84198185,Sandoval
6A-20592,6A,LOUIS WIESE III RANCH,Base,UW,881,869.2222009000001,Sandoval
9-20817,9,SIFREDO SANDOVAL RANCH,Base,UW,7168,6424.31477225,McKinley
7-22490,7,Leo Sandoval,SCR,UW,711,715.8067795,Sandoval
13-40843,13,Hijadero Spring Ranch #1,SCR,UW,320,324.82631727,Socorro
17-29195,17,M & K LOPEZ,SCR,UW,69,68.67686648,Socorro
17-41444,17,SKALSKI RANCH,SCR,UW,80,80.30064389,Socorro
17-43545,17,Flower Bar Ranch LLC,Base,UW,2867,2855.48036064,Socorro
13-43790,13,El Pato ,SCR,UW,160,164.32853563999998,Socorro
13-44151,13,Oso Otono,SCR,UW,108,104.30829102999999,Socorro
17-40429,17,Jenny Lynn's,SCR,UW,20,19.98006016,Socorro
13-28906,13,Rancho Santa Rita,SCR,UW,80,79.45263543,Socorro
10-20872,10,Meech Ranch,Base,UW,1473,1471.0775514000002,Cibola
10-28351,10,CLARA BARTON,SCR,UW,75,63.63774722,Cibola
10-29819,10,Lacy Ranch,Base,UW,960,942.32662514,Cibola
10-40515,10,Bucket,SCR,UW,20,20.45465831,Cibola
10-40898,10,HILES RANCH,SCR,UW,300,292.23514721,Cibola
10-41066,10,Game Trails Ranch,SCR,UW,11,11.80079296,Cibola
10-42616,10,SAVER LAND,SCR,UW,104,105.04181559999999,Cibola
12-42243,12,Meech Ranch,SCR,UW,155,154.39349713000001,Cibola
9-44794,9,Roderic Wade,SCR,UW,48,48.313079460000004,Cibola
9-44141,9,Huston Ridge,SCR,UW,40,40.02828501,Cibola
10-44223,10,Mandagaran,SCR,UW,240,239.93264474,Cibola
9-27188,9,Alex Marquez,SCR,UW,21,20.4785909,Sandoval
10-43139,10,Ten Candelaria Coop,Base,UW,1371,1364.52962812,Cibola
13-20919,13,William Owens Ranch,SCR,UW,522,190.78342517,Catron
13-26596,13,Randall Major,Base,UW,1281,1277.07506024,Catron
13-42263,13,CL Ranch 1,SCR,UW,40,39.77703094,Cibola
13-42265,13,CL Ranch 2,SCR,UW,80,84.5206866,Cibola
13-43489,13,Woods Camp,SCR,UW,40,40.9747055,Cibola
13-43683,13,Haag Ranch,SCR,UW,80,78.61975813999999,Catron
13-44109,13,Saddle Ranch,SCR,UW,80,73.25312462000001,Catron
13-44108,13,PC West Ranch,SCR,UW,100,95.30606518,Catron
13-44107,13,PC East Ranch,SCR,UW,100,97.93941578,Catron
13-44238,13,Tater,SCR,UW,40,39.29806275,Catron
13-43104,13,Hoggarth,SCR,UW,40,37.8872287,Catron
13-43033,13,Whale Tail 1,SCR,UW,40,38.42603055,Catron
13-43031,13,Johnson,SCR,UW,40,38.9620593,Catron
13-43160,13,4S Ranch,SCR,UW,40,38.97769293,Catron
13-43013,13,Treasure Ranch,SCR,UW,40,38.98971103,Catron
13-26898,13,Lily Bell,SCR,UW,320,321.8907529,Catron
13-29064,13,Bay Shore Farm & Ranch,SCR,UW,80,79.65217111,Catron
13-29244,13,Berklel Ranch,SCR,UW,240,226.44104393,Catron
13-41425,13,Camp Shield Ranch,SCR,UW,280,272.56898278,Catron
13-41442,13,Valhalla,SCR,UW,40,40.63972843,Catron
13-41947,13,SH Mesa,SCR,UW,40,40.9371995,Catron
13-42690,13,CAMP SHIELD II,SCR,UW,120,118.28359595,Catron
13-43477,13,Canyon View,SCR,UW,80,81.31767352,Catron
13-44186,13,Wagons West Ranch,SCR,UW,80,79.16254398,Catron
13-44055,13,White House Blue,SCR,UW,160,157.98087922,Catron
13-44056,13,White House Wood,SCR,UW,120,117.9461615,Catron
13-44054,13,White House Webster,SCR,UW,80,79.80184589,Catron
13-44237,13,Alamocito,SCR,UW,40,40.02475904,Catron
13-44239,13,Cash,SCR,UW,40,39.330273399999996,Catron
13-43103,13,Hoggarth,SCR,UW,40,38.351505880000005,Catron
13-43032,13,Johnson,SCR,UW,40,38.7957073,Catron
13-43161,13,Better Half,SCR,UW,40,38.59696159,Catron
13-43010,13,D. Schatz,SCR,UW,40,38.66096834,Catron
13-43409,13,Hill Top Ranch,SCR,UW,80,80.6426543,Catron
13-26590,13,Sydney Webb,Base,UW,1080,1061.54055631,Catron
12-42088,12,Mason Ranch,SCR,UW,330,327.4873065,Cibola
12-43871,12,Roschyk Ranch - West,SCR,UW,320,317.10357978,Catron
13-44015,13,Fenstermaker Ranch,SCR,UW,23,23.1182994,Cibola
13-44199,13,SBC2 Ice Caves,SCR,UW,80,81.63577683,Cibola
12-43531,12,4A Ranch,SCR,UW,154,158.97553681000002,Catron
12-40295,12,Holly,SCR,UW,320,320.85692343,Catron
12-40567,12,Cielito Lindo,SCR,UW,140,160.71443208000002,Catron
13-41971,13,CHEROKEE B MUNCY,SCR,UW,160,153.99504775,Catron
12-43016,12,Twisted Branch 2,SCR,UW,80,80.25983898,Catron
12-43015,12,Twisted Branch 1,SCR,UW,80,80.66303015,Catron
10-20855,10,JEKIELEK,Base,UW,780,878.9557253099999,McKinley
10-20882,10,BOND CATTLE RANCH,Base,UW,1813,1803.5840114500002,Cibola
10-20888,10,Lorenzo Perez,SCR,UW,14,13.70460305,Cibola
10-29478,10,FAITH VALLEY RANCH,SCR,UW,120,118.81494864,Cibola
10-29503,10,5 - LAMBSONS,SCR,UW,406,407.13559241999997,Cibola
10-41131,10,ELK COUNTRY RANCH,SCR,UW,80,80.17767873,Cibola
10-41157,10,THE PLACE,SCR,UW,60,69.36409210000001,Cibola
10-41177,10,Longbow,SCR,UW,38,38.0422202,Cibola
10-41654,10,Z Ranch 3,Base,UW,950,942.55865647,Cibola
10-42433,10,Wilkie,SCR,UW,320,311.90507314999996,McKinley
10-42645,10,CROSSFIRE CATTLE CO,SCR,UW,320,321.54770463,Cibola
12-40823,12,Oso Vista,SCR,UW,84,84.08365917,Cibola
10-44220,10,Lucero,SCR,UW,20,18.74244654,Cibola
10-41431,10,Purple Rock,Base,UW,2189,2117.48385437,Cibola
10-43407,10,Three Trees Ranch,SCR,UW,325,323.40458559,McKinley
10-20884,10,Baretinichich,SCR,UW,40,40.57228821,McKinley
10-26503,10,ROCK SPRINGS -MCGAFFEY RANCH,SCR,UW,85,82.95200099,McKinley
10-26722,10,Ranchito Berendo,SCR,UW,40,39.6481551,McKinley
10-27546,10,WAYNE BASGAL RANCH,SCR,UW,120,111.83249127,McKinley
10-29213,10,LAMBSON MESA,Base,UW,1399,1401.7220537599999,Cibola
10-29539,10,Ray,SCR,UW,25,25.377739950000002,McKinley
10-29641,10,Adrian Bond Ranch,SCR,UW,640,605.984502,McKinley
10-40562,10,Pineda,SCR,UW,15,15.42699268,Cibola
10-41156,10,Gonzales,SCR,UW,19,17.636701260000002,Cibola
10-42434,10,Slash Dollar,SCR,UW,37,35.011787399999996,McKinley
10-42704,10,FIVE O CLOCK,SCR,UW,22,21.7572806,Cibola
12-41774,12,Biggs Ranch,SCR,UW,640,617.2639368600001,McKinley
10-44081,10,CEB Ranch 10,SCR,UW,100,101.29530162,McKinley
12-44083,12,CEB Ranch 12,SCR,UW,127,124.87066062,McKinley
10-20885,10,MATKOVICH RANCH,SCR,UW,80,81.60560717,McKinley
12-43501,12,Myrna Burgess,SCR,UW,25,22.77387248,McKinley
12-40342,12,Thompson Place,SCR,UW,255,257.41318691,Cibola
12-41001,12,Rancho oro Escondido,SCR,UW,80,76.726152,Catron
12-41736,12,Pamela Vega,SCR,UW,640,646.77053884,Cibola
15-22509,15,Simpson Ranch,Base,UW,1346,1349.5901369199998,Catron
15-41940,15,JP SLASH RANCH,SCR,UW,480,468.04440064,Catron
12-44195,12,B406 Ranch,SCR,UW,203,237.89755753,Cibola
12-43077,12,Redemption Ranch 2,SCR,UW,160,160.5063287,Catron
12-40603,12,GOT NO LAND AND CATTLE,SCR,UW,605,603.99395486,Cibola
12-40998,12,McAvoy,SCR,UW,649,651.37928582,Cibola
12-42072,12,BERNARDO,SCR,UW,293,294.72707202,Catron
12-42084,12,Swanberg Ranch,SCR,UW,240,244.36851850000002,Catron
12-42808,12,Homestead Ranches,Base,UW,4030,4046.17804238,Cibola
13-27614,13,Haught Ranch,SCR,UW,141,140.78876183,Catron
13-28363,13,2M Bar Ranch,SCR,UW,120,119.31231107999999,Catron
15-21053,15,Charles Lamance,Base,UW,1639,1662.58534248,Catron
15-21073,15,Ernest Hubnik Estate,Base,UW,640,641.67679045,Catron
15-28915,15,Robber's Roost,SCR,UW,491,490.74363112000003,Catron
15-29752,15,Young Circle Y,Base,UW,1053,1064.70330688,Catron
15-42666,15,YOUNG TRIPLE Y,SCR,UW,80,80.98475762000001,Catron
15-43708,15,Double Y,SCR,UW,128,123.01486621,Catron
13-44053,13,White House Davenport,SCR,UW,160,156.12224805,Catron
15-44236,15,BARRETT,SCR,UW,40,41.319735609999995,Catron
13-27646,13,Rutter Ranch,SCR,UW,92,92.96143081,Catron
13-28422,13,Jeff Haught Ranch,SCR,UW,150,148.55759164,Catron
13-28949,13,Rutter Ranch,SCR,UW,123,122.60088894,Catron
13-41990,13,MOUNTAIN TOP,SCR,UW,640,638.5280232,Catron
15-28800,15,Gallegos Ranch,SCR,UW,14,14.38361988,Catron
15-41224,15,Rebel Ranch #8,SCR,UW,14,14.46031511,Catron
15-41483,15,Blackwelder Ranch,SCR,UW,158,158.30470269,Catron
15-43691,15,Mangas North Face,SCR,UW,213,216.26943968999998,Catron
16E-21196,16E,GUTIERREZ LAND & CATTLE,Base,UW,1538,1538.38151949,Catron
13-43165,13,South Crosby ,SCR,UW,80,79.8548011,Catron
13-20911,13,Dick Wellborn,Base,UW,4172,4161.6909152299995,Catron
15-21028,15,Leyba Ranch,Base,UW,1014,1008.19745891,Catron
15-26893,15,Thirsty Cowboy,SCR,UW,160,149.3280985,Catron
15-27847,15,Ray Jackloski Ranch,Base,UW,845,872.30418127,Catron
15-27993,15,Lonesome Pines,SCR,UW,20,19.821721619999998,Catron
15-28904,15,AGUA FRIA RANCHES,SCR,UW,134,127.67246104,Catron
15-29182,15,DCoy Ranch,SCR,UW,120,106.01558701,Catron
15-41179,15,Hensley Ranch,SCR,UW,280,274.34398378000003,Catron
15-43500,15,Bryant ,SCR,UW,115,113.3429862,Catron
15-43543,15,RTO Land and Cattle,SCR,UW,80,80.31944412,Catron
15-43097,15,Bachelor,SCR,UW,20,19.90834286,Catron
15-43024,15,CL Ranch,SCR,UW,20,19.57294277,Catron
15-21060,15,Charles Gaddis,Base,UW,1489,1456.13253274,Catron
15-20929,15,F Spear Slash Ranch,Base,UW,1120,1157.77435319,Catron
15-20945,15,Smith Ranch,SCR,UW,80,79.68631128,Catron
15-20968,15,CSURILLA,Base,UW,960,961.91220837,Catron
15-20978,15,Hooper Herefords,Base,UW,2928,2939.97130019,Catron
15-20992,15,Schultz,Base,UW,3521,3527.31157374,Catron
15-21002,15,Geisler Ranch,SCR,UW,384,384.34002549999997,Catron
15-28137,15,Peterson Ranch,SCR,UW,57,56.96876294,Catron
15-28143,15,Douglas-Berry Ranch,SCR,UW,80,78.58853048,Catron
15-28194,15,Derringer,SCR,UW,40,39.924920990000004,Catron
